,Acquired Samples,Real,Imaginary,Frequency
0,1 / 5,74.739,70.042,0.1
1,2 / 5,31.215,20.552,0.2
2,3 / 5,52.499,-34.068,0.30000000000000004
3,4 / 5,58.179,-4.234,0.4
4,5 / 5,61.946,-2.233,0.5
5,1 / 5,61.928,5.781,0.5
6,2 / 5,58.585,1.261,0.625
7,3 / 5,63.261,1.563,0.75
8,4 / 5,59.804,1.272,0.875
9,5 / 5,60.069,1.424,1.0
10,1 / 20,66.739,0.516,1.0
11,2 / 20,66.617,4.304,1.2742749857031337
12,3 / 20,61.419,-3.48,1.6237767391887217
13,4 / 20,59.025,3.912,2.0691380811147897
14,5 / 20,61.011,5.714,2.636650898730358
15,6 / 20,60.383,5.768,3.3598182862837818
16,7 / 20,58.309,8.045,4.281332398719393
17,8 / 20,57.982,10.11,5.455594781168519
18,9 / 20,55.413,10.53,6.951927961775605
19,10 / 20,53.955,12.181,8.858667904100825
20,11 / 20,51.08,12.805,11.28837891684689
21,12 / 20,48.354,13.518,14.38449888287663
22,13 / 20,45.979,13.496,18.329807108324356
23,14 / 20,43.101,13.462,23.357214690901213
24,15 / 20,40.728,13.106,29.76351441631318
25,16 / 20,38.501,12.577,37.926901907322495
26,17 / 20,36.465,12.101,48.32930238571752
27,18 / 20,34.587,11.797,61.584821106602604
28,19 / 20,32.758,11.123,78.47599703514611
29,20 / 20,31.001,10.553,100.0
30,1 / 100,30.992,10.599,100.0
31,2 / 100,30.773,10.421,103.07224065220868
32,3 / 100,30.55,10.406,106.23886793066819
33,4 / 100,30.336,10.337,109.50278161968058
34,5 / 100,30.116,10.293,112.86697059189969
35,6 / 100,29.908,10.124,116.33451554534044
36,7 / 100,29.661,10.123,119.90859182447441
37,8 / 100,29.469,10.007,123.59247232799702
38,9 / 100,29.246,9.864,127.3895305059275
39,10 / 100,29.063,9.883,131.30324344878838
40,11 / 100,28.808,9.756,135.33719507169056
41,12 / 100,28.655,9.643,139.49507939624215
42,13 / 100,28.458,9.613,143.78070393328426
43,14 / 100,28.275,9.512,148.19799316955442
44,15 / 100,28.049,9.429,152.7509921614669
45,16 / 100,27.895,9.339,157.44387023930375
46,17 / 100,27.621,9.253,162.2809248252063
47,18 / 100,27.519,9.276,167.2665853684665
48,19 / 100,27.248,9.256,172.40541740171787
49,20 / 100,27.255,8.857,177.70212672174367
50,21 / 100,27.077,8.804,183.16156369872846
51,22 / 100,26.615,8.902,188.78872771790188
52,23 / 100,26.508,8.763,194.5887717576388
53,24 / 100,26.251,8.674,200.56700710821073
54,25 / 100,26.109,8.559,206.72890823550745
55,26 / 100,26.058,8.36,213.0801177941859
56,27 / 100,25.824,8.314,219.626451794833
57,28 / 100,25.699,8.226,226.37390492987734
58,29 / 100,25.544,8.159,233.3286560631255
59,30 / 100,25.329,8.06,240.497073887949
60,31 / 100,25.259,7.954,247.8857227593069
61,32 / 100,25.077,7.816,255.5013687049399
62,33 / 100,24.888,7.765,263.3509856212426
63,34 / 100,24.694,7.639,271.4417616594907
64,35 / 100,24.491,7.521,279.7811058082649
65,36 / 100,24.456,7.371,288.3766546781054
66,37 / 100,24.188,7.38,297.2362794946059
67,38 / 100,24.05,7.26,306.3680933063518
68,39 / 100,24.02,7.131,315.7804584143061
69,40 / 100,23.868,7.018,325.4819940294417
70,41 / 100,23.74,6.97,335.4815841656336
71,42 / 100,23.542,6.834,345.7883857750439
72,43 / 100,23.458,6.779,356.41183713344094
73,44 / 100,23.298,6.63,367.36166648313826
74,45 / 100,23.174,6.534,378.6479009414649
75,46 / 100,23.004,6.455,390.2808756829234
76,47 / 100,22.881,6.376,402.27124340345017
77,48 / 100,22.794,6.219,414.6299840754367
78,49 / 100,22.705,6.164,427.3684150024486
79,50 / 100,22.529,6.01,440.49820118285373
80,51 / 100,22.441,5.919,454.0313659918413
81,52 / 100,22.304,5.865,467.98030219162104
82,53 / 100,22.265,5.721,482.357783279881
83,54 / 100,22.051,5.608,497.1769751868987
84,55 / 100,21.995,5.61,512.451448332012
85,56 / 100,21.891,5.444,528.1951900505002
86,57 / 100,21.897,5.327,544.4226174022431
87,58 / 100,21.723,5.266,561.1485903738933
88,59 / 100,21.51,5.151,578.388425486656
89,60 / 100,21.499,5.038,596.1579098221267
90,61 / 100,21.373,5.034,614.4733154790397
91,62 / 100,21.294,4.917,633.3514144741619
92,63 / 100,21.196,4.734,652.8094941009757
93,64 / 100,21.124,4.686,672.8653727602236
94,65 / 100,21.004,4.603,693.5374162767994
95,66 / 100,20.916,4.487,714.844554717933
96,67 / 100,20.829,4.438,736.8062997280774
97,69 / 100,20.671,4.24,782.7746716729554
98,71 / 100,20.589,3.956,831.6109496333534
99,73 / 100,20.286,3.759,883.4940584779547
100,74 / 100,20.251,3.697,910.6371221023628
101,76 / 100,20.107,3.518,967.4505694779667
102,78 / 100,19.952,3.311,1027.8085328021943
103,79 / 100,19.967,3.18,1059.385284373814
104,81 / 100,19.739,3.01,1125.478933142831
105,82 / 100,19.709,3.001,1160.0563544588897
106,84 / 100,19.523,2.778,1232.4307383349037
107,85 / 100,19.456,2.682,1270.2939764883442
108,87 / 100,19.386,2.521,1349.5459400126865
109,88 / 100,19.328,2.399,1391.007239001988
110,90 / 100,19.13,2.14,1477.7903435493574
111,92 / 100,19.036,1.886,1569.9877313755696
112,95 / 100,18.734,1.742,1719.1802369439672
113,97 / 100,18.853,1.38,1826.4376214170497
114,100 / 100,18.603,1.169,2000.0000000000002
